UF;FAIXA_AGING_PEDIDO;DATA_ATUALIZACAO;QTE
AC;0-4 DIAS;2022-01-29;165
AC;0-4 DIAS;2022-01-30;136
AC;0-4 DIAS;2022-01-31;65
AC;0-4 DIAS;2022-02-01;96
AC;0-4 DIAS;2022-02-02;134
AC;0-4 DIAS;2022-02-03;167
AC;0-4 DIAS;2022-02-04;189
AC;0-4 DIAS;2022-02-05;203
AC;0-4 DIAS;2022-02-06;168
AC;0-4 DIAS;2022-02-07;156
AC;13-20 DIAS;2022-01-29;3
AC;13-20 DIAS;2022-01-30;4
AC;13-20 DIAS;2022-01-31;8
AC;13-20 DIAS;2022-02-01;7
AC;13-20 DIAS;2022-02-02;7
AC;13-20 DIAS;2022-02-03;8
AC;13-20 DIAS;2022-02-04;7
AC;13-20 DIAS;2022-02-05;6
AC;13-20 DIAS;2022-02-06;9
AC;13-20 DIAS;2022-02-07;8
AC;21-30 DIAS;2022-01-29;1
AC;21-30 DIAS;2022-01-30;1
AC;21-30 DIAS;2022-01-31;1
AC;21-30 DIAS;2022-02-03;1
AC;21-30 DIAS;2022-02-04;1
AC;21-30 DIAS;2022-02-05;2
AC;5-7 DIAS;2022-01-29;15
AC;5-7 DIAS;2022-01-30;17
AC;5-7 DIAS;2022-01-31;30
AC;5-7 DIAS;2022-02-01;24
AC;5-7 DIAS;2022-02-02;33
AC;5-7 DIAS;2022-02-03;27
AC;5-7 DIAS;2022-02-04;11
AC;5-7 DIAS;2022-02-05;18
AC;5-7 DIAS;2022-02-06;30
AC;5-7 DIAS;2022-02-07;37
AC;8-12 DIAS;2022-01-29;29
AC;8-12 DIAS;2022-01-30;24
AC;8-12 DIAS;2022-01-31;18
AC;8-12 DIAS;2022-02-01;12
AC;8-12 DIAS;2022-02-02;12
AC;8-12 DIAS;2022-02-03;14
AC;8-12 DIAS;2022-02-04;20
AC;8-12 DIAS;2022-02-05;23
AC;8-12 DIAS;2022-02-06;22
AC;8-12 DIAS;2022-02-07;15
AC;ACIMA DE 30 DIAS;2022-01-29;3
AC;ACIMA DE 30 DIAS;2022-01-30;3
AC;ACIMA DE 30 DIAS;2022-01-31;3
AC;ACIMA DE 30 DIAS;2022-02-01;3
AC;ACIMA DE 30 DIAS;2022-02-02;3
AC;ACIMA DE 30 DIAS;2022-02-03;3
AC;ACIMA DE 30 DIAS;2022-02-04;3
AC;ACIMA DE 30 DIAS;2022-02-05;3
AC;ACIMA DE 30 DIAS;2022-02-06;3
AC;ACIMA DE 30 DIAS;2022-02-07;3
AL;0-4 DIAS;2022-01-29;39
AL;0-4 DIAS;2022-01-30;29
AL;0-4 DIAS;2022-01-31;25
AL;0-4 DIAS;2022-02-01;30
AL;0-4 DIAS;2022-02-02;24
AL;0-4 DIAS;2022-02-03;31
AL;0-4 DIAS;2022-02-04;29
AL;0-4 DIAS;2022-02-05;40
AL;0-4 DIAS;2022-02-06;36
AL;0-4 DIAS;2022-02-07;32
AL;13-20 DIAS;2022-01-29;2
AL;13-20 DIAS;2022-01-30;2
AL;13-20 DIAS;2022-01-31;2
AL;13-20 DIAS;2022-02-01;2
AL;13-20 DIAS;2022-02-03;1
AL;13-20 DIAS;2022-02-04;2
AL;13-20 DIAS;2022-02-05;1
AL;13-20 DIAS;2022-02-06;1
AL;13-20 DIAS;2022-02-07;1
AL;21-30 DIAS;2022-01-29;4
AL;21-30 DIAS;2022-01-30;3
AL;21-30 DIAS;2022-01-31;3
AL;21-30 DIAS;2022-02-01;3
AL;21-30 DIAS;2022-02-02;4
AL;21-30 DIAS;2022-02-03;3
AL;21-30 DIAS;2022-02-04;1
AL;21-30 DIAS;2022-02-05;1
AL;21-30 DIAS;2022-02-06;1
AL;21-30 DIAS;2022-02-07;1
AL;5-7 DIAS;2022-01-29;12
AL;5-7 DIAS;2022-01-30;14
AL;5-7 DIAS;2022-01-31;18
AL;5-7 DIAS;2022-02-01;12
AL;5-7 DIAS;2022-02-02;13
AL;5-7 DIAS;2022-02-03;11
AL;5-7 DIAS;2022-02-04;6
AL;5-7 DIAS;2022-02-05;4
AL;5-7 DIAS;2022-02-06;2
AL;5-7 DIAS;2022-02-07;5
AL;8-12 DIAS;2022-01-29;4
AL;8-12 DIAS;2022-01-30;4
AL;8-12 DIAS;2022-01-31;4
AL;8-12 DIAS;2022-02-01;12
AL;8-12 DIAS;2022-02-02;12
AL;8-12 DIAS;2022-02-03;7
AL;8-12 DIAS;2022-02-04;8
AL;8-12 DIAS;2022-02-05;6
AL;8-12 DIAS;2022-02-06;10
AL;8-12 DIAS;2022-02-07;9
AL;ACIMA DE 30 DIAS;2022-01-29;2
AL;ACIMA DE 30 DIAS;2022-01-30;3
AL;ACIMA DE 30 DIAS;2022-01-31;3
AL;ACIMA DE 30 DIAS;2022-02-01;2
AL;ACIMA DE 30 DIAS;2022-02-02;1
AL;ACIMA DE 30 DIAS;2022-02-03;2
AL;ACIMA DE 30 DIAS;2022-02-04;1
AL;ACIMA DE 30 DIAS;2022-02-05;1
AL;ACIMA DE 30 DIAS;2022-02-06;1
AL;ACIMA DE 30 DIAS;2022-02-07;1
AM;0-4 DIAS;2022-01-29;525
